Time	numpids	numthreads	maxprocessors	maxcores	maxcpus	cpu_ids	sumuss	sumswap	sum_read_count	sum_write_count	sum_read_bytes	sum_write_bytes	sum_read_chars	sum_write_chars
2025-11-05 17:33:17	2	2	2	2	1	1	2678784	0	69	2	0	0	49580	117
2025-11-05 17:33:18	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:19	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:20	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:21	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:22	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:23	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:24	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:25	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:26	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:27	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:28	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:29	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:30	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:31	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:32	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:33	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:35	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:36	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:37	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:38	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:39	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
