Time	numpids	numthreads	maxprocessors	maxcores	maxcpus	cpu_ids	sumuss	sumswap	sum_read_count	sum_write_count	sum_read_bytes	sum_write_bytes	sum_read_chars	sum_write_chars
2025-05-20 02:19:39	1	1	1	1	1	0	56094720	0	1056	1	29528064	0	6367169	47
2025-05-20 02:19:40	1	1	1	1	1	0	127635456	0	3597	123	54308864	0	20097092	470228
2025-05-20 02:19:41	2	2	2	2	1	0	197533696	0	6533	129	69885952	36864	36036063	470766
2025-05-20 02:19:42	2	2	2	2	1	0	220274688	0	9158	135	76288000	49152	56464517	471350
2025-05-20 02:19:43	2	2	2	2	1	0	188678144	0	11896	139	76304384	53248	76046263	476777
2025-05-20 02:19:44	1	1	1	1	1	0	369143808	0	16205	161	296370176	184320	282896252	567663
2025-05-20 02:19:45	1	1	1	1	1	0	814530560	0	26549	193	954810368	270336	947245547	581053
2025-05-20 02:19:46	2	2	2	2	1	0	897290240	0	28534	203	954875904	278528	961581287	666891
2025-05-20 02:19:47	2	2	2	2	1	0	915128320	0	28727	203	955203584	278528	961805260	666891
2025-05-20 02:19:48	2	2	2	2	1	0	917794816	0	28980	207	956706816	315392	963310358	668241
2025-05-20 02:19:49	2	2	2	1	1	0	969187328	0	29008	207	956796928	315392	963384315	668241
2025-05-20 02:19:50	2	2	2	1	1	0	1074352128	0	30023	208	959549440	335872	966146846	668748
2025-05-20 02:19:51	2	2	2	1	1	0	1087397888	0	30342	208	959836160	335872	967837893	668748
2025-05-20 02:19:52	2	2	2	1	1	0	1204912128	0	31366	209	959836160	339968	970602735	669255
2025-05-20 02:19:53	3	8	5	4	1	0	1326301184	0	31620	576	1015676928	339968	982353057	2003066
2025-05-20 02:19:54	3	8	6	4	1	0	1349857280	0	31682	596	1015676928	339968	988793613	2006250
2025-05-20 02:19:55	3	8	6	4	1	0	1361682432	0	32275	632	1016209408	339968	1000876998	2011976
2025-05-20 02:19:56	2	2	2	2	1	0	912437248	0	34145	573	1010782208	499712	1013591232	2106322
2025-05-20 02:19:57	2	2	2	2	1	0	934105088	0	34401	575	1010782208	503808	1014159328	2106877
2025-05-20 02:19:58	2	2	1	1	1	0	935243776	0	34828	578	1010782208	503808	1014405112	2107687
2025-05-20 02:20:00	2	2	1	1	1	0	957288448	0	36520	578	1010782208	503808	1015755885	2107687
2025-05-20 02:20:01	2	2	2	2	1	0	989773824	0	36524	578	1010782208	503808	1015759257	2107687
2025-05-20 02:20:02	2	2	2	2	1	0	990076928	0	36524	578	1010782208	503808	1015759257	2107687
2025-05-20 02:20:03	2	2	2	2	1	0	1046450176	0	37131	578	1010782208	503808	1015768969	2107687
2025-05-20 02:20:04	2	2	2	2	1	0	1094799360	0	37223	578	1010782208	503808	1015976017	2107687
2025-05-20 02:20:05	2	2	2	2	1	0	1112838144	0	37235	581	1010782208	503808	1015983550	2108497
2025-05-20 02:20:06	2	2	2	2	1	0	1172590592	0	39223	581	1010782208	503808	1017492587	2108497
2025-05-20 02:20:07	2	2	2	2	1	0	1172930560	0	39223	581	1010782208	503808	1017492587	2108497
2025-05-20 02:20:08	2	2	2	2	1	0	1174577152	0	39223	581	1010782208	503808	1017492587	2108497
2025-05-20 02:20:09	2	2	2	2	1	0	836526080	0	39842	584	1010782208	503808	1018790656	2108507
2025-05-20 02:20:10	3	8	6	3	1	0	1356455936	0	40104	969	1010782208	503808	1029252691	3442476
2025-05-20 02:20:11	3	8	6	4	1	0	1353211904	0	40166	989	1010782208	503808	1035693247	3445660
2025-05-20 02:20:12	5	20	8	4	1	0	1391398912	0	41852	2213	1024782336	18972672	1071450646	41316040
2025-05-20 02:20:13	6	32	8	4	1	0	1383780352	0	47639	6670	1045770240	90734592	1165654320	187264994
2025-05-20 02:20:14	6	32	8	4	1	0	1383780352	0	54397	12149	1066758144	181440512	1276347382	366669892
2025-05-20 02:20:15	6	32	8	4	1	0	1383788544	0	61189	17368	1091956736	266936320	1387594816	537587848
2025-05-20 02:20:16	6	32	8	4	1	0	1383788544	0	68305	22894	1117155328	357408768	1504184559	718598340
2025-05-20 02:20:17	6	32	8	4	1	0	1377075200	0	75163	28161	1146531840	443195392	1616022073	890106360
2025-05-20 02:20:18	6	32	8	4	1	0	1375854592	0	79387	31411	1159131136	495853568	1684698492	995488564
2025-05-20 02:20:20	6	32	8	4	1	0	1375879168	0	81997	33410	1171730432	528687104	1727388174	1060860822
2025-05-20 02:20:21	6	32	8	4	1	0	1375911936	0	86672	37016	1188524032	587276288	1804027919	1178923994
2025-05-20 02:20:22	6	32	8	4	1	0	1375940608	0	93705	42444	1213706240	676438016	1919241117	1356690462
2025-05-20 02:20:23	6	32	8	4	1	0	1375948800	0	100469	47686	1238904832	762290176	2030079232	1528394842
